state_name,county_name,fips_state,fips_county
New Jersey,Atlantic,34,001
New Jersey,Bergen,34,003
New Jersey,Burlington,34,005
New Jersey,Camden,34,007
New Jersey,Cape May,34,009
New Jersey,Cumberland,34,011
New Jersey,Essex,34,013
New Jersey,Gloucester,34,015
New Jersey,Hudson,34,017
New Jersey,Hunterdon,34,019
New Jersey,Mercer,34,021
New Jersey,Middlesex,34,023
New Jersey,Monmouth,34,025
New Jersey,Morris,34,027
New Jersey,Ocean,34,029
New Jersey,Passaic,34,031
New Jersey,Salem,34,033
New Jersey,Somerset,34,035
New Jersey,Sussex,34,037
New Jersey,Union,34,039
New Jersey,Warren,34,041
